url	name	price	stem_type	feel	pin_count	force	silent	color
https://mechanicalkeyboards.com/products/zeal-pc-zeal-clickiez-75g-convertible-tactile-clicky-linear-pcb-mount	Zeal PC Zeal Clickiez 75g Convertible Tactile / Clicky / Linear PCB Mount Switch	$1.50	MX	Clicky	5	58 cN	No	Yellow
https://mechanicalkeyboards.com/products/zeal-pc-blue-zilents-v2-silent-tactile	Zeal PC Blue Zilents V2 Silent Tactile Switch	$1.30	MX	Tactile	5		Yes	Blue
https://mechanicalkeyboards.com/products/gateron-quinn-59g-tactile-pcb-mount-switch	Gateron Quinn 59g Tactile PCB Mount Switch	$0.60	MX	Tactile	5	59 cN	No	Off-White
https://mechanicalkeyboards.com/products/gateron-baby-raccoon-55g-linear-pcb-mount-lubed-switch	Gateron Baby Raccoon 55g Linear PCB Mount Lubed Switch	$0.70	MX	Linear	5	55 cN	No	Brown
https://mechanicalkeyboards.com/products/cherry-mx-silent-black-60g-linear	Cherry MX Silent Black 60g Linear Switch	$0.50	MX	Linear		60 cN	Yes	Black
https://mechanicalkeyboards.com/products/matias-quiet-linear-35g-switch	Matias Quiet Linear 35g Switch	$0.75	ALPS	Linear		35 cN	No	Red
https://mechanicalkeyboards.com/products/gateron-jade-30g-linear-pcb-mount-magnetic-he	Gateron Jade 30g Linear PCB Mount Magnetic HE Switch	$0.80	MX	Linear	5	30 cN	No	White
https://mechanicalkeyboards.com/products/mk-switch-tester-tube-intro-formula-821	MK Switch Tester Tube Intro Formula 821	$8.00						
https://mechanicalkeyboards.com/products/swk-jieum-v2-linear-pcb-mount-switch	SWK Jieum V2 Linear PCB Mount Switch	$0.48	MX	Linear	5			Grey
https://mechanicalkeyboards.com/products/gateron-g-pro-30-brown-55g-tactile-pcb-mount	Gateron G Pro 3.0 Brown 55g Tactile PCB Mount Switch	$0.30	MX	Tactile	5	55 cN	No	Brown
https://mechanicalkeyboards.com/products/gateron-beer-50g-tactile-switch	Gateron Beer 50g Tactile Switch	$0.60	MX	Tactile	5	50 cN	No	Yellow
https://mechanicalkeyboards.com/products/gateron-oil-king-v2-55g-linear-lubed	Gateron Oil King V2 55g Linear PCB Mount Lubed Switch	$0.65	MX	Linear	5	55 cN	No	Black
https://mechanicalkeyboards.com/products/swk-catmint-linear-pcb-mount-switch	SWK Catmint Linear PCB Mount Switch	$0.35	MX	Linear	5			Purple
https://mechanicalkeyboards.com/products/sw-x-haimu-mp-tactile-switch	SW x Haimu MP Tactile Switch	$0.40	MX	Tactile				Black
https://mechanicalkeyboards.com/products/cherry-mx-brown-hyperglide-45g-tactile	Cherry MX Brown Hyperglide 45g Tactile Switch	$0.40	MX	Tactile	5	45 cN	No	Black
https://mechanicalkeyboards.com/products/cherry-mx-red-45g-linear	Cherry MX Red 45g Linear Switch	$0.40	MX	Linear		45 cN	No	Red
https://mechanicalkeyboards.com/products/gateron-mini-i-switch	Gateron Mini i 50g Tactile Lubed Switch	$0.61	MX	Tactile	5	50 cN	No	Red
https://mechanicalkeyboards.com/products/gateron-jupiter-red-45g-linear-pcb-mount	Gateron Jupiter Red 45g Linear PCB Mount Switch	$0.28	MX	Linear	5	45 cN	No	Red
https://mechanicalkeyboards.com/products/hmx-kd200-45g-linear-pcb-mount-35-pack	HMX KD200 45g Linear PCB Mount Switches (35 Pack)	$9.99	MX	Linear	5	45 cN		Black
https://mechanicalkeyboards.com/products/kailh-choc-red-50g-low-profile-linear	Kailh Choc Red 50g Low Profile Linear Switch	$0.40	CHOC	Linear		50 cN	No	Red
https://mechanicalkeyboards.com/products/kailh-box-white-45g-clicky-plate-mount	Kailh BOX White 45g Clicky Plate Mount Switch	$0.35	MX	Clicky	3	45 cN	No	White
https://mechanicalkeyboards.com/products/wuque-studio-dash-55g-linear-magnetic-he	Wuque Studio Dash 55g Linear Magnetic HE Switch	$0.80	MX	Linear	5		No	Purple
https://mechanicalkeyboards.com/products/durock-black-lotus-635g-linear-pcb-mount-lubed-switch	Durock Black Lotus 63.5g Linear PCB Mount Lubed Switch	$0.70	MX	Linear	5	55 cN	No	Black
https://mechanicalkeyboards.com/products/kailh-box-deep-sea-pro-silent-40g-tactile-plate-mount-switch	Kailh BOX Deep Sea Pro Silent 40g Tactile Plate Mount Switch	$0.75	MX	Tactile	3	40 cN	No	Brown
https://mechanicalkeyboards.com/products/kailh-speed-pink-50g-clicky-plate-mount-switch	Kailh Speed Pink 50g Clicky Plate Mount Switch	$0.33	MX	Clicky	3	50 cN	No	Pink
https://mechanicalkeyboards.com/products/hmx-1989-classic-45g-linear-pcb-mount-35-pack	HMX 1989 Classic 45g Linear PCB Mount Switches (35 Pack)	$11.99	MX	Linear	5	45 cN		Red
https://mechanicalkeyboards.com/products/wuque-studio-heavy-tactile-45g	Wuque Studio Heavy Tactile 45g Switch	$0.35	MX	Tactile	5	45 cN	No	Grey
